h3_cell,lat,lon
892a100d62fffff,40.750269919268,-73.97290003081406
892a100d633ffff,40.75566723272888,-73.96882919645593
892a100d637ffff,40.7530835085508,-73.96658853882022
892a100d63bffff,40.75555219244933,-73.97310562393587
892a100d643ffff,40.7631879413235,-73.984106944923
892a100d647ffff,40.76060424762045,-73.98186506091723
892a100d64bffff,40.76307233809354,-73.98838407088253
892a100d64fffff,40.76048872668632,-73.98614194957854
892a100d653ffff,40.7658872070349,-73.98207170950569
892a100d657ffff,40.76330338643407,-73.97982981217478
892a100d65bffff,40.76577167962786,-73.98634907959108
892a100d663ffff,40.755321637705,-73.98165845885663
892a100d667ffff,40.752738160175504,-73.97941708936834
892a100d66bffff,40.75520612324228,-73.98593486620214
892a100d66fffff,40.752622727967825,-73.98369325948109
892a100d673ffff,40.75802059854109,-73.97962342753863
892a100d677ffff,40.75543699410768,-73.97738204475199
892a100d67bffff,40.75790515988271,-73.98390007891497
892a100d683ffff,40.766347735254335,-73.96496216197335
892a100d687ffff,40.76376358566216,-73.96272121424846
892a100d68bffff,40.76623284041283,-73.96923955883975
892a100d68fffff,40.763648773039314,-73.96699837367477
892a100d693ffff,40.769046748442776,-73.96292571940788
892a100d697ffff,40.766462471951925,-73.96068475853083
892a100d69bffff,40.768931929525905,-73.96720336032945
892a100d6a3ffff,40.75848077235944,-73.96251675513759
892a100d6abffff,40.75836596602918,-73.9667934331769
892a100d6afffff,40.75578211494534,-73.96455276235974
892a100d6b3ffff,40.76117948077166,-73.96048051711963
892a100d6bbffff,40.76106475034742,-73.96475743911911
892a100d6c3ffff,40.768701817203045,-73.97575862231947
892a100d6c7ffff,40.766117787428406,-73.9735169490824
892a100d6cbffff,40.768586523799094,-73.9800362432926
892a100d6cfffff,40.76600257630209,-73.9777943326536
892a100d6d3ffff,40.77140110911548,-73.97372268113838
892a100d6d7ffff,40.76881695244565,-73.97148099464923
892a100d6dbffff,40.771285891594616,-73.97800054624952
892a100f24bffff,40.78277098142451,-73.9441823002341
892a100f25bffff,40.78547014785319,-73.94214398351879
892a100f64bffff,40.80166621211985,-73.9299092281534
892a1072137ffff,40.73338295814338,-74.01075375344374
892a1072183ffff,40.74664477312713,-74.00914047636303
892a1072187ffff,40.74406208777896,-74.0068979615497
892a1072193ffff,40.74934395912159,-74.00710735714024
892a1072197ffff,40.746761146867875,-74.00486482878279
892a10721a3ffff,40.73878056609214,-74.00668861308876
892a10721a7ffff,40.736198096831764,-74.00444661282785
892a10721afffff,40.73608173646356,-74.00872129846812
892a10721b3ffff,40.74147944700773,-74.00465569727152
892a10721b7ffff,40.73889685083574,-74.0024136834934
892a10721bbffff,40.741363079954006,-74.00893086382774
892a1072503ffff,40.76002506197137,-74.00324943564169
892a1072507ffff,40.757441824465054,-74.00100661609572
892a1072513ffff,40.76272457969797,-74.00121540755254
892a1072517ffff,40.76014121529478,-73.99897257450851
892a1072523ffff,40.75215941875203,-74.00079787164594
892a1072527ffff,40.74957639726228,-73.99855556685219
892a107252bffff,40.75204319635703,-74.00507400737747
892a107252fffff,40.749460257199395,-74.00283146549287
892a1072533ffff,40.754858631504376,-73.99876404720786
892a1072537ffff,40.75227548311167,-73.9965217289429
892a107253bffff,40.754742484811985,-74.0030404270407
892a1072577ffff,40.754626180064804,-74.00731679987626
892a1072583ffff,40.765540150398465,-73.9949037992709
892a1072587ffff,40.762956576745275,-73.9926611900057
892a107258fffff,40.76284065727974,-73.99693830224493
892a1072593ffff,40.76823969462949,-73.99286906555227
892a1072597ffff,40.765655994082046,-73.99062644286204
892a10725a3ffff,40.75767380832861,-73.99245336126558
892a10725a7ffff,40.75509045072057,-73.99021126674096
892a10725abffff,40.75755789543499,-73.99672999214451
